%Retrained the CI without the OpenEval data, now with the Holiday Source working better
@relation trainingData

@attribute PlanIt.monthSuggestion.sources.Holiday {June,October,December,May,September,March,July,January,February,April,August,November}
?,February,July,April,August,June,July,February
?,January,December,February,August,June,July,February
?,January,December,February,August,June,July,February
?,October,November,February,June,July,September,February
?,June,May,July,August,June,July,February
?,September,August,October,April,October,September,February
?,August,September,July,June,August,July,February
February,August,September,July,June,August,July,February
March,February,July,April,August,June,July,April
?,February,July,April,August,June,July,April
?,February,July,April,August,June,July,April
?,February,July,April,August,June,July,April
?,February,July,April,August,June,July,April
?,January,December,February,August,June,July,April
?,January,December,February,August,June,July,April
?,January,December,February,August,June,July,April
?,January,December,February,August,June,July,April
?,January,December,February,August,June,July,April
?,October,November,February,June,July,September,April
?,October,November,February,June,July,September,April
?,October,November,February,June,July,September,April
?,October,September,August,August,June,July,April
?,October,September,August,August,June,July,April
?,June,May,July,August,June,July,April
?,June,May,July,August,June,July,April
?,June,May,July,August,June,July,April
?,September,August,October,April,October,September,April
?,September,August,October,April,October,September,April
?,August,September,July,June,August,July,April
?,August,September,July,June,August,July,April
April,August,September,July,June,August,July,April
?,February,July,April,August,June,July,August
?,February,July,April,August,June,July,August
?,January,December,February,August,June,July,August
?,January,December,February,August,June,July,August
?,January,December,February,August,June,July,August
?,October,September,August,August,June,July,August
?,October,September,August,August,June,July,August
?,June,May,July,August,June,July,August
?,June,May,July,August,June,July,August
?,June,May,July,August,June,July,August
?,February,January,March,August,June,July,August
?,August,September,July,June,August,July,August
?,August,September,July,June,August,July,August
?,August,September,July,June,August,July,August
?,August,September,July,June,August,July,August
?,August,September,July,June,August,July,August
November,February,July,April,August,June,July,November
November,February,July,April,August,June,July,November
?,February,July,April,August,June,July,November
?,February,July,April,August,June,July,November
?,January,December,February,August,June,July,November
?,October,November,February,June,July,September,November
?,October,November,February,June,July,September,November
?,October,November,February,June,July,September,November
?,October,November,February,June,July,September,November
?,October,September,August,August,June,July,November
?,June,May,July,August,June,July,November
?,June,May,July,August,June,July,November
?,September,August,October,April,October,September,November
?,September,August,October,April,October,September,November
?,September,August,October,April,October,September,November
?,February,January,March,August,June,July,November
?,February,January,March,August,June,July,November
?,August,September,July,June,August,July,November
?,August,September,July,June,August,July,November
?,August,September,July,June,August,July,November
?,August,September,July,June,August,July,November
?,August,September,July,June,August,July,November
